ID, Nombre del Animal, Continente, Cantidad de Ejemplares
838, Cabra de Montaña, América, 200000
839, Serpiente de Cascabel, América, 200000
840, Gato de Tierra, América, 200000
841, Gato de la Selva, América, 2000
842, Rata de Campo, Europa, 5000000
843, Oso Pardo, América, 100000
844, Pez de Colores, América, 100000
845, Robalo, América, 100000
846, Nutria de Río, América, 600000
847, Cernícalo Americano, América, 300000
848, Serpiente de Jardín, Europa, 100000
849, Gato de León, América, 15000
850, Gato Americano, América, 6000
851, Oso Polar, América, 25000
852, Rata de Espinas, América, 1000000
853, Cabra de Montaña, América, 200000
854, Nutria, América, 300000
855, Cernícalo, América, 200000
856, Gato doméstico, América, 1000000
857, Gato de Tierra, América, 200000
858, Robalo, América, 100000
859, Gorrión, América, 2000000
860, Gato de los Bosques, América, 20000
861, Oso Hormiguero, América, 3000
862, Cernícalo Americano, América, 300000
863, Gato Montés, América, 50000
864, Gato de León, América, 15000
865, Cabra de Montaña, América, 200000
866, Robalo, América, 100000
867, Nutria de Río, América, 600000
868, Serpiente de Cascabel, América, 200000
869, Pez de Colores, América, 100000
870, Gato de la Selva, América, 2000
871, Gorra de Rey, América, 100000
872, Serpiente de Jardín, Europa, 100000
873, Nutria de Mar, América, 500000
874, Gato de Tierra, América, 200000
875, Gato doméstico, América, 1000000
876, Rata de Campo, Europa, 5000000
877, Oso Pardo, América, 100000
878, Pez de Colores, América, 100000
879, Robalo, América, 100000
880, Nutria, América, 300000
881, Cernícalo, América, 200000
882, Gato de León, América, 15000
883, Cernícalo de Dos Colas, América, 15000
884, Gato de la Selva, América, 2000
885, Robalo, América, 100000
886, Cabra de Montaña, América, 200000
887, Gato doméstico, América, 1000000
888, Nutria de Río, América, 600000
889, Oso Polar, América, 25000
890, Rata de Espinas, América, 1000000
891, Gato Montés, América, 50000
892, Gato de Tierra, América, 200000
893, Cernícalo, América, 200000
894, Gato de León, América, 15000
895, Robalo, América, 100000
896, Gorrión, América, 2000000
897, Gato de la Selva, América, 2000
898, Gato de León, América, 15000
899, Nutria, América, 300000
900, Robalo, América, 100000
901, Oso Hormiguero, América, 3000
902, Nutria de Río, América, 600000
903, Pez de Colores, América, 100000
904, Gato de Tierra, América, 200000
905, Gato doméstico, América, 1000000
906, Rata de Campo, Europa, 5000000
907, Cabra de Montaña, América, 200000
908, Gato Montés, América, 50000
909, Robalo, América, 100000
910, Nutria, América, 300000
911, Gato de la Selva, América, 2000
912, Gato de Tierra, América, 200000
913, Oso Pardo, América, 100000
914, Rata de Espinas, América, 1000000
915, Nutria de Mar, América, 500000
916, Cernícalo, América, 200000
917, Gato de León, América, 15000
918, Gato doméstico, América, 1000000
919, Robalo, América, 100000
920, Gorrión, América, 2000000
921, Cabra de Montaña, América, 200000
922, Oso Hormiguero, América, 3000
923, Nutria de Río, América, 600000
924, Rata de Campo, Europa, 5000000
925, Cernícalo Americano, América, 300000
926, Gato de los Bosques, América, 20000
927, Gato de Tierra, América, 200000
928, Gato doméstico, América, 1000000
929, Robalo, América, 100000
930, Nutria, América, 300000
931, Serpiente de Cascabel, América, 200000
932, Gato de la Selva, América, 2000
933, Gato de León, América, 15000
934, Gorra de Rey, América, 100000
935, Gato Americano, América, 6000
936, Rata de Espinas, América, 1000000
937, Cernícalo, América, 200000
938, Gato Montés, América, 50000
939, Oso Pardo, América, 100000
940, Gato de Tierra, América, 200000
941, Nutria, América, 300000
942, Cabra de Montaña, América, 200000
943, Gato doméstico, América, 1000000
944, Robalo, América, 100000
945, Gato de León, América, 15000
946, Oso Hormiguero, América, 3000
947, Nutria de Río, América, 600000
948, Gato de los Bosques, América, 20000
949, Rata de Campo, Europa, 5000000
950, Gato Americano, América, 6000
951, Gorra de Rey, América, 100000
952, Cernícalo de Dos Colas, América, 15000
953, Gato de la Selva, América, 2000
954, Nutria, América, 300000
955, Gato de Tierra, América, 200000
956, Robalo, América, 100000
957, Nutria de Mar, América, 500000
958, Gato Montés, América, 50000
959, Gato doméstico, América, 1000000
960, Rata de Espinas, América, 1000000
961, Pez de Colores, América, 100000
962, Robalo, América, 100000
963, Oso Polar, América, 25000
964, Cabra de Montaña, América, 200000
965, Cernícalo, América, 200000
966, Gato de León, América, 15000
967, Gorra de Rey, América, 100000
968, Nutria, América, 300000
969, Gato Americano, América, 6000
970, Serpiente de Cascabel, América, 200000
971, Gato de la Selva, América, 2000
972, Nutria de Río, América, 600000
973, Robalo, América, 100000
974, Gato Montés, América, 50000
975, Gato doméstico, América, 1000000
976, Rata de Campo, Europa, 5000000
977, Oso Hormiguero, América, 3000
978, Cernícalo Americano, América, 300000
979, Pez de Colores, América, 100000
980, Gato de Tierra, América, 200000
981, Gato de los Bosques, América, 20000
982, Gorra de Rey, América, 100000
983, Nutria, América, 300000
984, Gato de León, América, 15000
985, Robalo, América, 100000
986, Gato Americano, América, 6000
987, Nutria de Mar, América, 500000
988, Cernícalo, América, 200000
989, Rata de Espinas, América, 1000000
990, Oso Pardo, América, 100000
991, Gato de Tierra, América, 200000
992, Gorrión, América, 2000000
993, Gato Montés, América, 50000
994, Nutria, América, 300000
995, Robalo, América, 100000
996, Cabra de Montaña, América, 200000
997, Gato de la Selva, América, 2000
998, Pez de Colores, América, 100000
999, Rata de Campo, Europa, 5000000
1000, Cabra de Monte, América, 150000
1001, Lobo Gris, América, 300000
1002, Búho Real, Europa, 20000
1003, Oso Pardo, América, 50000
1004, Cebra, África, 250000
1005, Jirafa, África, 100000
1006, Elefante Africano, África, 415000
1007, Gorila de Montaña, África, 1000
1008, Tigre de Bengala, Asia, 2500
1009, Panda Gigante, Asia, 1864
1010, León, África, 23000
1011, Orca, Oceanía, 50000
1012, Canguro Rojo, Oceanía, 8000000
1013, Pájaro Lira, Oceanía, 20000
1014, Avestruz, África, 500000
1015, Koala, Oceanía, 80000
1016, Nutria, América, 300000
1017, Hipopótamo, África, 125000
1018, Bisonte, América, 100000
1019, Foca, Europa, 30000
1020, Suricata, África, 300000
1021, Águila Real, Europa, 100000
1022, Gato Montés, América, 50000
1023, Gato salvaje, África, 15000
1024, Delfín, Oceanía, 500000
1025, Tortuga, América, 4000
1026, Cernícalo, Europa, 100000
1027, Lémur, África, 9000
1028, Chimpancé, África, 150000
1029, Pingüino Emperador, Oceanía, 60000
1030, Cebra de Grevy, África, 2500
1031, Cangrejo, Oceanía, 100000
1032, Iguana, América, 50000
1033, Gato de los Bosques, América, 20000
1034, Rata de Campo, Europa, 5000000
1035, Búfalo de Agua, Asia, 500000
1036, Nutria de Río, América, 600000
1037, Gato de León, América, 15000
1038, Ocelote, América, 25000
1039, Bisonte Americano, América, 50000
1040, Foca de Weddell, Antártida, 200000
1041, Rata de Espinas, América, 1000000
1042, Serpiente Pitón, Asia, 10000
1043, Nutria de Mar, América, 500000
1044, Antílope, África, 100000
1045, Canguro, Oceanía, 1000000
1046, Pez Payaso, Oceanía, 200000
1047, Serpiente Cobra, Asia, 250000
1048, Dodo, Oceanía, 0
1049, Cernícalo de Cola Amarilla, América, 200000
1050, Robalo, América, 100000
1051, Gato de Tierra, América, 200000
1052, Gorra de Rey, América, 100000
1053, Gorrión, América, 2000000
1054, Gato Americano, América, 6000
1055, Lobo de Tasmania, Oceanía, 0
1056, Pez de Colores, América, 100000
1057, Panda Rojo, Asia, 10000
1058, León Marino, América, 250000
1059, Águila de Cola Blanca, América, 50000
1060, Nutria, América, 300000
1061, Gato de la Selva, América, 2000
1062, Búho, Europa, 30000
1063, Gato doméstico, América, 1000000
1064, Nutria de Río, América, 600000
1065, Pez Manta, América, 8000
1066, Cernícalo Americano, América, 300000
1067, Serpiente de Cascabel, América, 200000
1068, Tigre Siberiano, Asia, 500
1069, Gato Salvaje Europeo, Europa, 20000
1070, Gorrión Común, Europa, 1000000
1071, Rata de Espinas, América, 1000000
1072, Nutria de Mar, América, 500000
1073, Gato Montés, América, 50000
1074, Oso Polar, América, 25000
1075, Robalo, América, 100000
1076, Gato Americano, América, 6000
1077, Gorra de Rey, América, 100000
1078, Cabra de Montaña, América, 200000
1079, Serpiente Jardín, Europa, 100000
1080, Gato de Tierra, América, 200000
1081, Lobo Gris, América, 300000
1082, Cernícalo, América, 200000
1083, Nutria, América, 300000
1084, Rata de Campo, Europa, 5000000
1085, Gato de los Bosques, América, 20000
1086, Gato doméstico, América, 1000000
1087, Gato de León, América, 15000
1088, Nutria de Río, América, 600000
1089, Robalo, América, 100000
1090, Oso Hormiguero, América, 3000
1091, Oso Pardo, América, 100000
1092, Lobo de Alaska, América, 3000
1093, Delfín Nariz de Botella, América, 60000
1094, Chinchilla, América, 25000
1095, Zorro Rojo, América, 200000
1096, Zorro Ártico, América, 15000
1097, Búho Nival, América, 20000
1098, Gato de la Selva, América, 2000
1099, Halcón Peregrino, América, 250000
1100, Pez Gato, América, 100000
1101, Serpiente de Maíz, América, 100000
1102, Gato de los Bosques, América, 20000
1103, Búfalo Africano, África, 900000
1104, Nutria, América, 300000
1105, Gato Montés, América, 50000
1106, Cernícalo, América, 200000
1107, Pez Espada, América, 100000
1108, Oso Hormiguero, América, 3000
1109, Jirafa de Reticulada, África, 300000
1110, Hipopótamo Pigmeo, África, 3000
1111, Zorro Gris, América, 250000
1112, Nutria de Río, América, 600000
1113, Lémur de Cola Anillada, África, 150000
1114, Perro de las Praderas, América, 500000
1115, Pez Gato, América, 100000
1116, Gato Montés, América, 50000
1117, Cernícalo, América, 200000
1118, Nutria de Mar, América, 500000
1119, Orca, Oceanía, 50000
1120, Gorra de Rey, América, 100000
1121, Pez Payaso, Oceanía, 200000
1122, Delfín, Oceanía, 500000
1123, Tigre de Indochina, Asia, 2500
1124, Jirafa, África, 100000
1125, Hipopótamo, África, 125000
1126, Panda Gigante, Asia, 1864
1127, Gato Americano, América, 6000
1128, Gato de Tierra, América, 200000
1129, Cernícalo, América, 200000
1130, Bisonte Americano, América, 50000
1131, Rata de Espinas, América, 1000000
1132, Pez de Colores, América, 100000
1133, Nutria, América, 300000
1134, Gorra de Rey, América, 100000
1135, Serpiente de Jardín, Europa, 100000
1136, Robalo, América, 100000
1137, Cernícalo Americano, América, 300000
1138, Gato Montés, América, 50000
1139, Gato de la Selva, América, 2000
1140, Nutria de Río, América, 600000
1141, Oso Pardo, América, 100000
1142, Lobo de Tasmania, Oceanía, 0
1143, Gato de León, América, 15000
1144, Gato doméstico, América, 1000000
1145, Pez Payaso, Oceanía, 200000
1146, Gorrión, América, 2000000
1147, Gato Americano, América, 6000
1148, Robalo, América, 100000
1149, Nutria de Mar, América, 500000
1150, Cernícalo, América, 200000
1151, Oso Hormiguero, América, 3000
1152, Cabra de Montaña, América, 200000
1153, Gorra de Rey, América, 100000
1154, Rata de Campo, Europa, 5000000
1155, Tigre de Sumatra, Asia, 400
1156, Gato de Tierra, América, 200000
1157, Nutria, América, 300000
1158, Delfín, Oceanía, 500000
1159, Gato Montés, América, 50000
1160, Gato de los Bosques, América, 20000
1161, Robalo, América, 100000
1162, Pez de Colores, América, 100000
1163, Gato Americano, América, 6000
1164, Gorra de Rey, América, 100000
1165, Oso Pardo, América, 100000
1166, Cernícalo, América, 200000
1167, Nutria de Río, América, 600000
1168, Bisonte Americano, América, 50000
1169, Gato de León, América, 15000
1170, Gato doméstico, América, 1000000
1171, Nutria, América, 300000
1172, Oso Polar, América, 25000
1173, Serpiente de Cascabel, América, 200000
1174, Gorra de Rey, América, 100000
1175, Gato Montés, América, 50000
1176, Rata de Espinas, América, 1000000
1177, Pez de Colores, América, 100000
1178, Cernícalo, América, 200000
1179, Oso Hormiguero, América, 3000
1180, Tigre de Siberiano, Asia, 500
1181, Gato Americano, América, 6000
1182, Robalo, América, 100000
1183, Nutria de Mar, América, 500000
1184, Gorra de Rey, América, 100000
1185, Lobo Gris, América, 300000
1186, Nutria de Río, América, 600000
1187, Gato de Tierra, América, 200000
1188, Cabra de Montaña, América, 200000
1189, Oso Pardo, América, 100000
1190, Pez Manta, América, 8000
1191, Delfín Nariz de Botella, América, 60000
1192, Cernícalo, América, 200000
1193, Rata de Campo, Europa, 5000000
1194, Gato de León, América, 15000
1195, Nutria, América, 300000
1196, Gato Montés, América, 50000
1197, Gato doméstico, América, 1000000
1198, Gorra de Rey, América, 100000
1199, Oso Hormiguero, América, 3000
1200, Cernícalo Americano, América, 300000
1201, Robalo, América, 100000
1202, Gato Americano, América, 6000
1203, Nutria de Mar, América, 500000
1204, Gato de la Selva, América, 2000
1205, Lobo de Tasmania, Oceanía, 0
1206, Gato Montés, América, 50000
1207, Oso Pardo, América, 100000
1208, Gato de Tierra, América, 200000
1209, Gato de los Bosques, América, 20000
1210, Gorrión, América, 2000000
1211, Rata de Espinas, América, 1000000
1212, Tigre de Indochina, Asia, 2500
1213, Gorra de Rey, América, 100000
1214, Gato Americano, América, 6000
1215, Nutria de Río, América, 600000
1216, Gato doméstico, América, 1000000
1217, Cernícalo, América, 200000
1218, Robalo, América, 100000
1219, Nutria, América, 300000
1220, Oso Polar, América, 25000
1221, Gato de León, América, 15000
1222, Gato Montés, América, 50000
1223, Rata de Campo, Europa, 5000000
1224, Nutria de Mar, América, 500000
1225, Gorra de Rey, América, 100000
1226, Tigre Siberiano, Asia, 500
1227, Cernícalo Americano, América, 300000
1228, Lobo Gris, América, 300000
1229, Gato de Tierra, América, 200000
1230, Robalo, América, 100000
1231, Oso Hormiguero, América, 3000
1232, Nutria de Río, América, 600000
1233, Gato Montés, América, 50000
1234, Gato doméstico, América, 1000000
1235, Gorra de Rey, América, 100000
1236, Rata de Espinas, América, 1000000
1237, Pez de Colores, América, 100000
1238, Gato Americano, América, 6000
1239, Delfín Nariz de Botella, América, 60000
1240, Nutria, América, 300000
1241, Gato de la Selva, América, 2000
1242, Cernícalo, América, 200000
1243, Oso Pardo, América, 100000
1244, Gato de León, América, 15000
1245, Gato Montés, América, 50000
1246, Rata de Campo, Europa, 5000000
1247, Nutria de Mar, América, 500000
1248, Gorra de Rey, América, 100000
1249, Tigre de Indochina, Asia, 2500
1250, Gato Americano, América, 6000
1251, Robalo, América, 100000
1252, Nutria de Río, América, 600000
1253, Gato de Tierra, América, 200000
1254, Cabra de Montaña, América, 200000
1255, Oso Hormiguero, América, 3000
1256, Lobo de Tasmania, Oceanía, 0
1257, Búfalo de Agua, Asia, 500000
1258, Gato doméstico, América, 1000000
1259, Nutria, América, 300000
1260, Gato de los Bosques, América, 20000
1261, Gorrión, América, 2000000
1262, Rata de Espinas, América, 1000000
1263, Gato de León, América, 15000
1264, Pez Payaso, Oceanía, 200000
1265, Delfín, Oceanía, 500000
1266, Tigre Siberiano, Asia, 500
1267, Jirafa de Reticulada, África, 300000
1268, Nutria de Río, América, 600000
1269, Gato de Tierra, América, 200000
1270, Bisonte Americano, América, 50000
1271, Cernícalo, América, 200000
1272, Oso Pardo, América, 100000
1273, Gato Montés, América, 50000
1274, Nutria de Mar, América, 500000
1275, Robalo, América, 100000
1276, Gorra de Rey, América, 100000
1277, Gato Americano, América, 6000
1278, Nutria, América, 300000
1279, Gato doméstico, América, 1000000
1280, Rata de Campo, Europa, 5000000
1281, Oso Polar, América, 25000
1282, Gato de la Selva, América, 2000
1283, Gato de Tierra, América, 200000
1284, Tigre de Indochina, Asia, 2500
1285, Delfín Nariz de Botella, América, 60000
1286, Gorra de Rey, América, 100000
1287, Robalo, América, 100000
1288, Gato de León, América, 15000
1289, Gato Montés, América, 50000
1290, Rata de Espinas, América, 1000000
1291, Gato Americano, América, 6000
1292, Cernícalo, América, 200000
1293, Nutria de Río, América, 600000
1294, Oso Hormiguero, América, 3000
1295, Gorrión, América, 2000000
1296, Nutria de Mar, América, 500000
1297, Gato doméstico, América, 1000000
1298, Oso Pardo, América, 100000
1299, Tigre de Siberiano, Asia, 500
1300, Lobo Gris, América, 300000
1301, Nutria, América, 300000
1302, Gato de Tierra, América, 200000
1303, Robalo, América, 100000
1304, Nutria de Río, América, 600000
1305, Oso Hormiguero, América, 3000
1306, Gato de los Bosques, América, 20000
1307, Gato Montés, América, 50000
1308, Rata de Campo, Europa, 5000000
1309, Gato de León, América, 15000
1310, Nutria de Mar, América, 500000
1311, Gorra de Rey, América, 100000
1312, Oso Polar, América, 25000
1313, Delfín Nariz de Botella, América, 60000
1314, Gato de la Selva, América, 2000
1315, Cernícalo Americano, América, 300000
1316, Gato Americano, América, 6000
1317, Robalo, América, 100000
1318, Nutria de Río, América, 600000
1319, Gato doméstico, América, 1000000
1320, Gorra de Rey, América, 100000
1321, Tigre de Indochina, Asia, 2500
1322, Nutria, América, 300000
1323, Gato Montés, América, 50000
1324, Gato de Tierra, América, 200000
1325, Rata de Espinas, América, 1000000
1326, Gorrión, América, 2000000
1327, Nutria de Mar, América, 500000
1328, Cernícalo, América, 200000
1329, Robalo, América, 100000
1330, Gato de León, América, 15000
1331, Gato de la Selva, América, 2000
1332, Oso Pardo, América, 100000
1333, Nutria de Río, América, 600000
1334, Oso Hormiguero, América, 3000
1335, Lobo Gris, América, 300000
1336, Gato doméstico, América, 1000000
1337, Tigre Siberiano, Asia, 500
1338, Nutria, América, 300000
1339, Gato Montés, América, 50000
1340, Rata de Espinas, América, 1000000
1341, Gato Americano, América, 6000
1342, Gorra de Rey, América, 100000
1343, Oso Polar, América, 25000
1344, Gato de Tierra, América, 200000
1345, Robalo, América, 100000
1346, Nutria de Mar, América, 500000
1347, Gato de los Bosques, América, 20000
1348, Gato de la Selva, América, 2000
1349, Nutria de Río, América, 600000
1350, Gorra de Rey, América, 100000
1351, Lobo Gris, América, 300000
1352, Rata de Campo, Europa, 5000000
1353, Gato de Tierra, América, 200000
1354, Nutria, América, 300000
1355, Gato Montés, América, 50000
1356, Gato doméstico, América, 1000000
1357, Oso Pardo, América, 100000
1358, Tigre de Indochina, Asia, 2500
1359, Gorra de Rey, América, 100000
1360, Robalo, América, 100000
1361, Gato Americano, América, 6000
1362, Nutria de Río, América, 600000
1363, Cernícalo, América, 200000
1364, Gato de León, América, 15000
1365, Oso Hormiguero, América, 3000
1366, Delfín Nariz de Botella, América, 60000
1367, Gorrión, América, 2000000
1368, Nutria de Mar, América, 500000
1369, Lobo de Tasmania, Oceanía, 0
1370, Gato de Tierra, América, 200000
1371, Nutria, América, 300000
1372, Gato Montés, América, 50000
1373, Rata de Espinas, América, 1000000
1374, Tigre Siberiano, Asia, 500
1375, Gorra de Rey, América, 100000
1376, Robalo, América, 100000
1377, Nutria de Río, América, 600000
1378, Oso Pardo, América, 100000
1379, Gato doméstico, América, 1000000
1380, Gato de los Bosques, América, 20000
1381, Nutria, América, 300000
1382, Gato de la Selva, América, 2000
1383, Gato de Tierra, América, 200000
1384, Tigre de Indochina, Asia, 2500
1385, Gorra de Rey, América, 100000
1386, Robalo, América, 100000
1387, Gato Americano, América, 6000
1388, Nutria de Río, América, 600000
1389, Oso Hormiguero, América, 3000
1390, Delfín Nariz de Botella, América, 60000
1391, Gato de León, América, 15000
1392, Gato doméstico, América, 1000000
1393, Gato Montés, América, 50000
1394, Rata de Espinas, América, 1000000
1395, Gorra de Rey, América, 100000
1396, Nutria, América, 300000
1397, Lobo Gris, América, 300000
1398, Gato de Tierra, América, 200000
1399, Robalo, América, 100000
1400, Nutria de Mar, América, 500000
1401, Oso Polar, América, 25000
1402, Gato de la Selva, América, 2000
1403, Tigre Siberiano, Asia, 500
1404, Gato Montés, América, 50000
1405, Rata de Campo, Europa, 5000000
1406, Gato de León, América, 15000
1407, Nutria, América, 300000
1408, Gorra de Rey, América, 100000
1409, Oso Pardo, América, 100000
1410, Gato doméstico, América, 1000000
1411, Gato Americano, América, 6000
1412, Robalo, América, 100000
1413, Nutria de Río, América, 600000
1414, Oso Hormiguero, América, 3000
1415, Delfín Nariz de Botella, América, 60000
1416, Gato de Tierra, América, 200000
1417, Nutria de Mar, América, 500000
1418, Gato de los Bosques, América, 20000
1419, Tigre de Indochina, Asia, 2500
1420, Gorra de Rey, América, 100000
1421, Robalo, América, 100000
1422, Gato de la Selva, América, 2000
1423, Nutria, América, 300000
1424, Gato Montés, América, 50000
1425, Rata de Espinas, América, 1000000
1426, Gorrión, América, 2000000
1427, Nutria de Mar, América, 500000
1428, Gato doméstico, América, 1000000
1429, Gato Americano, América, 6000
1430, Oso Polar, América, 25000
1431, Robalo, América, 100000
1432, Tigre Siberiano, Asia, 500
1433, Nutria de Río, América, 600000
1434, Gato de León, América, 15000
1435, Gato de Tierra, América, 200000
1436, Rata de Campo, Europa, 5000000
1437, Gorra de Rey, América, 100000
1438, Gato Montés, América, 50000
1439, Nutria, América, 300000
1440, Oso Hormiguero, América, 3000
1441, Gato doméstico, América, 1000000
1442, Lobo de Tasmania, Oceanía, 0
1443, Gato de la Selva, América, 2000
1444, Robalo, América, 100000
1445, Delfín Nariz de Botella, América, 60000
1446, Gato de los Bosques, América, 20000
1447, Oso Pardo, América, 100000
1448, Gato Americano, América, 6000
1449, Rata de Espinas, América, 1000000
1450, Gato Montés, América, 50000
1451, Gorra de Rey, América, 100000
1452, Nutria, América, 300000
1453, Tigre de Indochina, Asia, 2500
1454, Gorrión, América, 2000000
1455, Nutria de Mar, América, 500000
1456, Gato doméstico, América, 1000000
1457, Oso Polar, América, 25000
1458, Gato de Tierra, América, 200000
1459, Robalo, América, 100000
1460, Nutria de Río, América, 600000
1461, Gato de León, América, 15000
1462, Tigre Siberiano, Asia, 500
1463, Nutria, América, 300000
1464, Lobo Gris, América, 300000
1465, Gato de la Selva, América, 2000
1466, Gato Montés, América, 50000
1467, Rata de Campo, Europa, 5000000
1468, Gato doméstico, América, 1000000
1469, Gorra de Rey, América, 100000
1470, Oso Hormiguero, América, 3000
1471, Gato Americano, América, 6000
1472, Robalo, América, 100000
1473, Tigre de Indochina, Asia, 2500
1474, Nutria de Río, América, 600000
1475, Gorrión, América, 2000000
1476, Gato de León, América, 15000
1477, Oso Pardo, América, 100000
1478, Gato Montés, América, 50000
1479, Gato de Tierra, América, 200000
1480, Nutria, América, 300000
1481, Robalo, América, 100000
1482, Gato doméstico, América, 1000000
1483, Lobo de Tasmania, Oceanía, 0
1484, Tigre Siberiano, Asia, 500
1485, Gato de los Bosques, América, 20000
1486, Oso Polar, América, 25000
1487, Delfín Nariz de Botella, América, 60000
1488, Gorra de Rey, América, 100000
1489, Gato de la Selva, América, 2000
1490, Nutria de Mar, América, 500000
1491, Gato Americano, América, 6000
1492, Nutria, América, 300000
1493, Rata de Espinas, América, 1000000
1494, Gato Montés, América, 50000
1495, Oso Hormiguero, América, 3000
1496, Gato de León, América, 15000
1497, Nutria de Río, América, 600000
1498, Gorra de Rey, América, 100000
1499, Robalo, América, 100000
1500, Gorrión, América, 2000000
1501, Gato de Tierra, América, 200000
1502, Nutria, América, 300000
1503, Tigre de Indochina, Asia, 2500
1504, Gato doméstico, América, 1000000
1505, Oso Pardo, América, 100000
1506, Gato de los Bosques, América, 20000
1507, Delfín, Oceanía, 500000
1508, Gato Americano, América, 6000
1509, Nutria de Mar, América, 500000
1510, Lobo Gris, América, 300000
1511, Robalo, América, 100000
1512, Gato de León, América, 15000
1513, Nutria de Río, América, 600000
1514, Oso Polar, América, 25000
1515, Gato de la Selva, América, 2000
1516, Gorra de Rey, América, 100000
1517, Tigre Siberiano, Asia, 500
1518, Nutria, América, 300000
1519, Rata de Campo, Europa, 5000000
1520, Gato Montés, América, 50000
1521, Nutria de Mar, América, 500000
1522, Gato doméstico, América, 1000000
1523, Gorrión, América, 2000000
1524, Gato de Tierra, América, 200000
1525, Robalo, América, 100000
1526, Oso Hormiguero, América, 3000
1527, Nutria, América, 300000
1528, Gato Americano, América, 6000
1529, Oso Pardo, América, 100000
1530, Tigre de Indochina, Asia, 2500
1531, Gato de los Bosques, América, 20000
1532, Gato de la Selva, América, 2000
1533, Rata de Espinas, América, 1000000
1534, Gato Montés, América, 50000
1535, Gato doméstico, América, 1000000
1536, Lobo de Tasmania, Oceanía, 0
1537, Oso Polar, América, 25000
1538, Gato de Tierra, América, 200000
1539, Nutria de Río, América, 600000
1540, Gato de León, América, 15000
1541, Nutria, América, 300000
1542, Robalo, América, 100000
1543, Delfín Nariz de Botella, América, 60000
1544, Gato Americano, América, 6000
1545, Gorra de Rey, América, 100000
1546, Nutria de Mar, América, 500000
1547, Gato de los Bosques, América, 20000
1548, Tigre Siberiano, Asia, 500
1549, Gato de la Selva, América, 2000
1550, Rata de Campo, Europa, 5000000
1551, Gorrión, América, 2000000
1552, Oso Hormiguero, América, 3000
1553, Nutria, América, 300000
1554, Gato doméstico, América, 1000000
1555, Gato Montés, América, 50000
1556, Robalo, América, 100000
1557, Oso Pardo, América, 100000
1558, Gato de León, América, 15000
1559, Tigre de Indochina, Asia, 2500
1560, Nutria de Mar, América, 500000
1561, Gato de Tierra, América, 200000
1562, Nutria de Río, América, 600000
1563, Gorra de Rey, América, 100000
1564, Gato Americano, América, 6000
1565, Rata de Espinas, América, 1000000
1566, Gorrión, América, 2000000
1567, Lobo Gris, América, 300000
1568, Gato de la Selva, América, 2000
1569, Gato Montés, América, 50000
1570, Nutria, América, 300000
1571, Robalo, América, 100000
1572, Gato doméstico, América, 1000000
1573, Oso Polar, América, 25000
1574, Gato de los Bosques, América, 20000
1575, Delfín Nariz de Botella, América, 60000
1576, Tigre Siberiano, Asia, 500
1577, Gorra de Rey, América, 100000
1578, Gato de Tierra, América, 200000
1579, Rata de Campo, Europa, 5000000
1580, Nutria de Río, América, 600000
1581, Gato de León, América, 15000
1582, Nutria, América, 300000
1583, Gato Montés, América, 50000
1584, Oso Hormiguero, América, 3000
1585, Gato Americano, América, 6000
1586, Robalo, América, 100000
1587, Gato de la Selva, América, 2000
1588, Gorra de Rey, América, 100000
1589, Nutria de Mar, América, 500000
1590, Gato doméstico, América, 1000000
1591, Oso Pardo, América, 100000
1592, Rata de Espinas, América, 1000000
1593, Lobo de Tasmania, Oceanía, 0
1594, Gorrión, América, 2000000
1595, Gato de Tierra, América, 200000
1596, Nutria, América, 300000
1597, Delfín, Oceanía, 500000
1598, Gato Americano, América, 6000
1599, Tigre de Indochina, Asia, 2500
1600, Gato de los Bosques, América, 20000
1601, Robalo, América, 100000
1602, Nutria de Río, América, 600000
1603, Gato de León, América, 15000
1604, Nutria, América, 300000
1605, Oso Polar, América, 25000
1606, Gato Montés, América, 50000
1607, Gato de la Selva, América, 2000
1608, Gorra de Rey, América, 100000
1609, Tigre Siberiano, Asia, 500
1610, Gato Americano, América, 6000
1611, Rata de Campo, Europa, 5000000
1612, Nutria de Mar, América, 500000
1613, Gato doméstico, América, 1000000
1614, Gorrión, América, 2000000
1615, Gato de Tierra, América, 200000
1616, Robalo, América, 100000
1617, Oso Hormiguero, América, 3000
1618, Nutria, América, 300000
1619, Tigre Indochino, Asia, 2500
1620, Gato de los Bosques, América, 20000
1621, Gato Montés, América, 50000
1622, Gato de León, América, 15000
1623, Nutria de Río, América, 600000
1624, Gorra de Rey, América, 100000
1625, Robalo, América, 100000
1626, Delfín Nariz de Botella, América, 60000
1627, Gato doméstico, América, 1000000
1628, Lobo Gris, América, 300000
1629, Gato Americano, América, 6000
1630, Nutria de Mar, América, 500000
1631, Oso Pardo, América, 100000
1632, Tigre Siberiano, Asia, 500
1633, Gato de Tierra, América, 200000
1634, Rata de Espinas, América, 1000000
1635, Gorrión, América, 2000000
1636, Nutria, América, 300000
1637, Robalo, América, 100000
1638, Gato de la Selva, América, 2000
1639, Oso Polar, América, 25000
1640, Gato Montés, América, 50000
1641, Gato Americano, América, 6000
1642, Nutria de Río, América, 600000
1643, Gato de los Bosques, América, 20000
1644, Gorra de Rey, América, 100000
1645, Gato doméstico, América, 1000000
1646, Delfín Nariz de Botella, América, 60000
1647, Tigre Indochino, Asia, 2500
1648, Nutria, América, 300000
1649, Rata de Campo, Europa, 5000000
1650, Robalo, América, 100000
